combination,features,n_features,n_samples,selector,model,mean_spearman,std_spearman,min_spearman,max_spearman
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,none,KF_SVR,0.182,0.1251,-0.0115,0.3171
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,none,KF_SVR,0.1816,0.1407,-0.0065,0.3812
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,spearman_50,KF_SVR,0.1769,0.0929,0.0391,0.3025
R3D,R3D,512,339,pca_50,KF_SVR,0.1641,0.087,0.0422,0.2655
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,none,KF_GradientBoosting,0.1597,0.1435,-0.0268,0.3654
R3D,R3D,512,339,pca_30,KF_SVR,0.158,0.0825,0.0483,0.2898
Temporal,R3D,512,339,pca_30,KF_SVR,0.1534,0.0792,0.0102,0.247
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,spearman_50,SVR,0.1486,0.0775,-0.0014,0.206
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,none,KF_SVR,0.148,0.1478,-0.1165,0.3003
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,spearman_50,KF_GradientBoosting,0.1472,0.1562,-0.0746,0.3353
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,spearman_30,KF_SVR,0.145,0.067,0.0247,0.213
LBP,LBP,768,339,spearman_50,KF_GradientBoosting,0.1448,0.1356,-0.058,0.3017
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,spearman_50,KF_SVR,0.1437,0.1224,-0.0816,0.264
Temporal,R3D,512,339,pca_50,KF_SVR,0.1421,0.1072,0.0043,0.2809
Audio,tcnj_audio_c|tcnj_audio_o,36,339,spearman_50,MLP,0.142,0.0589,0.0689,0.2201
DenseNet121,DenseNet121,3072,339,none,GradientBoosting,0.1365,0.0942,-0.0379,0.2366
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,none,Ridge,0.1317,0.0401,0.0587,0.1791
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,spearman_30,KF_GradientBoosting,0.13,0.034,0.0745,0.1708
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,none,KF_GradientBoosting,0.1297,0.0454,0.0732,0.2041
HandCrafted+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_emotion|tcnj_semantic,938,339,none,GradientBoosting,0.1292,0.1067,-0.0426,0.2721
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,spearman_30,KF_SVR,0.1284,0.0751,0.0156,0.2347
Audio,tcnj_audio_c|tcnj_audio_o,36,339,spearman_50,KF_GradientBoosting,0.1275,0.0995,-0.0279,0.271
Audio,tcnj_audio_c|tcnj_audio_o,36,339,none,KF_GradientBoosting,0.1275,0.0995,-0.0279,0.271
Audio,tcnj_audio_c|tcnj_audio_o,36,339,spearman_30,KF_GradientBoosting,0.1275,0.0995,-0.0279,0.271
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,none,LinearRegression,0.1272,0.0409,0.0613,0.1864
LBP,LBP,768,339,none,GradientBoosting,0.1268,0.111,-0.0593,0.2345
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,spearman_30,GradientBoosting,0.1268,0.1408,-0.1217,0.2749
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,none,SVR,0.1217,0.1331,-0.1245,0.2662
AlexNet,AlexNet,12288,339,spearman_30,KF_MLP,0.1215,0.0702,-0.0115,0.1797
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,spearman_50,GradientBoosting,0.1209,0.2055,-0.2626,0.3469
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,none,KF_SVR,0.1194,0.1059,-0.0323,0.2822
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,spearman_50,KF_SVR,0.1194,0.0431,0.0433,0.1716
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,pca_50,KF_LinearRegression,0.119,0.1137,-0.0378,0.3045
HandCrafted,HSVHistogram|RGBHistogram|LBP,912,339,spearman_50,GradientBoosting,0.1184,0.209,-0.2771,0.3164
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,none,KF_SVR,0.1179,0.1544,-0.1506,0.3237
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,spearman_30,KF_MLP,0.1176,0.0776,-0.0043,0.1893
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,pca_30,MLP,0.1174,0.0895,-0.0264,0.2543
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,spearman_30,KF_SVR,0.1167,0.0644,0.0434,0.2352
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,none,KF_SVR,0.1159,0.1168,-0.0874,0.2318
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,spearman_30,KF_SVR,0.1138,0.0274,0.083,0.1531
Temporal,R3D,512,339,none,KF_SVR,0.113,0.098,-0.0403,0.249
R3D,R3D,512,339,none,KF_SVR,0.113,0.098,-0.0403,0.249
Temporal,R3D,512,339,pca_50,KF_GradientBoosting,0.1127,0.0827,-0.0232,0.2118
VisualAll,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,42128,339,none,KF_LinearRegression,0.1117,0.0812,-0.0415,0.1845
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,none,SVR,0.111,0.1456,-0.1606,0.2538
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,pca_50,KF_MLP,0.1106,0.0549,0.0174,0.1541
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,pca_30,KF_LinearRegression,0.1104,0.0263,0.0666,0.1444
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,spearman_30,KF_SVR,0.11,0.0479,0.05,0.1967
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,spearman_30,KF_SVR,0.1094,0.0323,0.0564,0.1529
R3D,R3D,512,339,pca_30,LinearRegression,0.1092,0.113,-0.0828,0.2689
DeepVisual,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,40704,339,spearman_30,KF_GradientBoosting,0.1088,0.0346,0.0456,0.1364
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,pca_50,KF_MLP,0.1087,0.1189,-0.1161,0.2328
HandCrafted+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_emotion|tcnj_semantic,938,339,none,Ridge,0.1084,0.0723,-0.0067,0.2096
HandCrafted,HSVHistogram|RGBHistogram|LBP,912,339,spearman_50,SVR,0.1081,0.1098,-0.0995,0.2003
tcnj_audio_o,tcnj_audio_o,9,339,spearman_30,KF_GradientBoosting,0.1071,0.0503,0.034,0.1674
tcnj_audio_o,tcnj_audio_o,9,339,spearman_50,KF_GradientBoosting,0.1071,0.0503,0.034,0.1674
tcnj_audio_o,tcnj_audio_o,9,339,none,KF_GradientBoosting,0.1071,0.0503,0.034,0.1674
Audio,tcnj_audio_c|tcnj_audio_o,36,339,spearman_30,MLP,0.1069,0.1234,-0.0473,0.2909
HandCrafted+DeepVisual,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,41616,339,spearman_30,KF_SVR,0.1065,0.1043,-0.0489,0.2413
AlexNet,AlexNet,12288,339,spearman_30,KF_LinearRegression,0.106,0.1262,-0.0564,0.3125
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,spearman_50,KF_SVR,0.1058,0.0517,0.0129,0.1634
HandCrafted,HSVHistogram|RGBHistogram|LBP,912,339,none,GradientBoosting,0.1049,0.0702,-0.0047,0.2109
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,pca_50,KF_LinearRegression,0.1049,0.0862,-0.0528,0.1849
Temporal,R3D,512,339,pca_30,KF_Ridge,0.1039,0.0959,-0.0464,0.2499
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,spearman_30,KF_LinearRegression,0.1039,0.1248,-0.0328,0.3297
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,none,KF_GradientBoosting,0.1035,0.0696,0.037,0.1934
DenseNet121,DenseNet121,3072,339,spearman_50,KF_SVR,0.1021,0.1239,-0.0368,0.2895
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,spearman_50,KF_SVR,0.102,0.0772,0.0041,0.2005
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,spearman_30,KF_SVR,0.102,0.0772,0.0041,0.2005
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,none,KF_SVR,0.102,0.0772,0.0041,0.2005
Temporal,R3D,512,339,pca_30,LinearRegression,0.1018,0.1107,-0.0936,0.2489
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,spearman_30,Ridge,0.1016,0.0964,0.0022,0.2323
Audio,tcnj_audio_c|tcnj_audio_o,36,339,pca_50,KF_MLP,0.1011,0.0825,-0.0103,0.2201
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,none,KF_GradientBoosting,0.1011,0.0955,-0.0533,0.2179
Audio,tcnj_audio_c|tcnj_audio_o,36,339,pca_30,KF_MLP,0.1011,0.0825,-0.0103,0.2201
Temporal,R3D,512,339,pca_30,Ridge,0.1005,0.1102,-0.0844,0.258
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,pca_30,KF_GradientBoosting,0.1002,0.1697,-0.1497,0.2824
AlexNet,AlexNet,12288,339,spearman_50,SVR,0.1,0.1219,-0.0919,0.2426
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,pca_30,GradientBoosting,0.0998,0.1079,-0.0732,0.2409
LBP,LBP,768,339,none,KF_SVR,0.0996,0.1404,-0.0735,0.3209
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,spearman_50,KF_GradientBoosting,0.0995,0.0624,-0.0026,0.1941
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,spearman_30,KF_GradientBoosting,0.0995,0.0624,-0.0026,0.1941
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,none,KF_GradientBoosting,0.0995,0.0624,-0.0026,0.1941
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,none,KF_SVR,0.0982,0.0979,-0.0198,0.2181
R3D,R3D,512,339,pca_30,KF_Ridge,0.0981,0.0876,-0.0314,0.2404
DeepVisual,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,40704,339,pca_50,GradientBoosting,0.0973,0.1476,-0.062,0.3332
R3D,R3D,512,339,pca_30,Ridge,0.0973,0.1044,-0.0793,0.246
ResNet50,ResNet50,6144,339,none,LinearRegression,0.097,0.099,-0.014,0.2546
HandCrafted+DeepVisual,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,41616,339,spearman_30,KF_LinearRegression,0.097,0.1494,-0.1441,0.3239
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,spearman_50,KF_GradientBoosting,0.097,0.0871,-0.045,0.1926
AlexNet,AlexNet,12288,339,pca_30,LinearRegression,0.0967,0.1456,-0.1738,0.2497
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,pca_30,KF_MLP,0.0964,0.0559,0.0382,0.1866
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,spearman_30,LinearRegression,0.0964,0.0942,-0.0006,0.2371
HandCrafted,HSVHistogram|RGBHistogram|LBP,912,339,spearman_30,GradientBoosting,0.0963,0.234,-0.3401,0.3074
LBP,LBP,768,339,spearman_30,KF_Ridge,0.0962,0.1427,-0.1708,0.2078
R3D,R3D,512,339,pca_50,KF_GradientBoosting,0.0961,0.0781,-0.0266,0.1924
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,none,KF_LinearRegression,0.0957,0.1125,-0.025,0.2438
HandCrafted+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_emotion|tcnj_semantic,938,339,spearman_50,GradientBoosting,0.0955,0.105,-0.1108,0.1734
VisualAll+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,42154,339,none,KF_SVR,0.0954,0.144,-0.1761,0.2326
tcnj_audio_o,tcnj_audio_o,9,339,spearman_50,KF_SVR,0.095,0.0765,0.0114,0.2148
tcnj_audio_o,tcnj_audio_o,9,339,none,KF_SVR,0.095,0.0765,0.0114,0.2148
tcnj_audio_o,tcnj_audio_o,9,339,spearman_30,KF_SVR,0.095,0.0765,0.0114,0.2148
ResNet50,ResNet50,6144,339,none,Ridge,0.0946,0.0859,-0.003,0.2436
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,pca_50,KF_MLP,0.0945,0.177,-0.2123,0.2971
tcnj_audio_o,tcnj_audio_o,9,339,spearman_50,Ridge,0.0944,0.0962,-0.0575,0.2065
tcnj_audio_o,tcnj_audio_o,9,339,spearman_30,Ridge,0.0944,0.0962,-0.0575,0.2065
tcnj_audio_o,tcnj_audio_o,9,339,none,Ridge,0.0944,0.0962,-0.0575,0.2065
HandCrafted+DeepVisual,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,41616,339,pca_30,LinearRegression,0.0942,0.1512,-0.1838,0.2553
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,none,MLP,0.0939,0.0931,-0.0061,0.2409
AlexNet,AlexNet,12288,339,spearman_50,KF_SVR,0.0939,0.0883,-0.0304,0.2376
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,spearman_30,KF_GradientBoosting,0.0935,0.1034,-0.0313,0.2332
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,none,MLP,0.0934,0.0794,0.0081,0.2346
AlexNet,AlexNet,12288,339,spearman_50,KF_Ridge,0.0934,0.1895,-0.2408,0.345
R3D,R3D,512,339,pca_50,SVR,0.0932,0.084,-0.0618,0.1866
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,spearman_30,SVR,0.0931,0.1311,-0.0969,0.2419
DenseNet121,DenseNet121,3072,339,none,Ridge,0.0931,0.0938,-0.0377,0.1759
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,pca_30,Ridge,0.0929,0.1818,-0.2111,0.2963
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,pca_30,MLP,0.0928,0.0866,-0.0419,0.1971
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,pca_50,GradientBoosting,0.0922,0.0873,-0.0335,0.2139
LBP,LBP,768,339,spearman_50,KF_Ridge,0.0915,0.1425,-0.185,0.2203
HandCrafted+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_emotion|tcnj_semantic,938,339,spearman_50,KF_SVR,0.0912,0.1609,-0.1595,0.2878
DenseNet121,DenseNet121,3072,339,spearman_50,GradientBoosting,0.0908,0.1363,-0.1602,0.2291
HandCrafted+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_emotion|tcnj_semantic,938,339,none,SVR,0.0907,0.1414,-0.1685,0.2595
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,pca_50,KF_MLP,0.0907,0.104,-0.0521,0.2249
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,spearman_30,KF_GradientBoosting,0.0907,0.0863,0.0003,0.2463
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,spearman_50,KF_SVR,0.0905,0.0582,0.0186,0.1636
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,pca_50,KF_MLP,0.0905,0.1361,-0.153,0.2642
EfficientNetB3,EfficientNetB3,4608,339,spearman_50,KF_LinearRegression,0.09,0.1091,-0.1164,0.1955
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,spearman_50,KF_SVR,0.0897,0.0668,-0.021,0.182
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,none,KF_LinearRegression,0.0897,0.1185,-0.1128,0.2273
DeepVisual+Audio,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,40740,339,pca_30,MLP,0.0896,0.0915,-0.0506,0.1962
R3D,R3D,512,339,pca_50,KF_Ridge,0.0893,0.1086,-0.0769,0.2126
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,pca_50,KF_SVR,0.0892,0.1248,-0.1499,0.1926
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,pca_30,MLP,0.0889,0.1062,-0.0892,0.1986
R3D,R3D,512,339,pca_50,GradientBoosting,0.0886,0.1194,-0.1408,0.2042
VisualAll,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,42128,339,none,KF_SVR,0.0886,0.18,-0.2693,0.1969
AlexNet,AlexNet,12288,339,none,KF_LinearRegression,0.0883,0.0977,-0.0783,0.1856
tcnj_emotion,tcnj_emotion,19,339,pca_30,GradientBoosting,0.0882,0.1551,-0.1352,0.2848
tcnj_emotion,tcnj_emotion,19,339,pca_50,GradientBoosting,0.0882,0.1551,-0.1352,0.2848
DeepVisual,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,40704,339,spearman_30,KF_SVR,0.088,0.0429,0.0114,0.1317
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,none,Ridge,0.0878,0.13,-0.0812,0.2509
VisualAll,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,42128,339,pca_30,LinearRegression,0.0878,0.1471,-0.1569,0.2577
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,spearman_30,KF_SVR,0.0877,0.1206,-0.0934,0.2313
Temporal,R3D,512,339,pca_50,GradientBoosting,0.0876,0.0837,-0.0747,0.1675
LBP,LBP,768,339,spearman_50,SVR,0.0872,0.1383,-0.1695,0.2255
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,pca_30,KF_SVR,0.0869,0.12,-0.1471,0.1966
DeepVisual,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,40704,339,pca_30,Ridge,0.0868,0.1709,-0.2128,0.2824
tcnj_audio_o,tcnj_audio_o,9,339,pca_50,Ridge,0.0867,0.0936,-0.0612,0.2054
tcnj_audio_o,tcnj_audio_o,9,339,pca_30,Ridge,0.0867,0.0936,-0.0612,0.2054
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,spearman_50,KF_SVR,0.0867,0.0286,0.0596,0.1416
tcnj_audio_o,tcnj_audio_o,9,339,pca_50,LinearRegression,0.0867,0.0936,-0.0612,0.2054
tcnj_audio_o,tcnj_audio_o,9,339,none,LinearRegression,0.0867,0.0936,-0.0612,0.2054
tcnj_audio_o,tcnj_audio_o,9,339,spearman_30,LinearRegression,0.0867,0.0936,-0.0612,0.2054
tcnj_audio_o,tcnj_audio_o,9,339,spearman_50,LinearRegression,0.0867,0.0936,-0.0612,0.2054
tcnj_audio_o,tcnj_audio_o,9,339,pca_30,LinearRegression,0.0867,0.0936,-0.0612,0.2054
R3D,R3D,512,339,pca_50,KF_LinearRegression,0.0867,0.0946,-0.1012,0.1467
ResNet50,ResNet50,6144,339,spearman_50,KF_MLP,0.0865,0.1645,-0.2052,0.2703
HandCrafted+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_emotion|tcnj_semantic,938,339,none,KF_SVR,0.0863,0.2097,-0.2328,0.3852
VisualAll,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,42128,339,pca_30,Ridge,0.0863,0.1515,-0.1857,0.2428
HandCrafted+DeepVisual,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,41616,339,pca_30,Ridge,0.086,0.1447,-0.163,0.2384
HandCrafted+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_emotion|tcnj_semantic,938,339,spearman_50,KF_MLP,0.0859,0.0694,-0.0053,0.1821
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,none,Ridge,0.0858,0.1276,-0.0906,0.2365
HandCrafted,HSVHistogram|RGBHistogram|LBP,912,339,spearman_30,Ridge,0.0857,0.0975,-0.0202,0.2642
VisualAll,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,42128,339,spearman_30,KF_SVR,0.0856,0.0991,-0.0944,0.1716
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,none,LinearRegression,0.0855,0.0732,0.0112,0.219
