combination,features,n_features,n_samples,selector,model,mean_spearman,std_spearman,min_spearman,max_spearman
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,none,KF_Ridge,0.0357,0.0602,-0.0315,0.13
VGG,VGG,12288,339,spearman_50,KF_MLP,0.0356,0.086,-0.0514,0.1638
DenseNet121,DenseNet121,3072,339,none,KF_MLP,0.0355,0.1025,-0.1218,0.1808
HandCrafted+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_emotion|tcnj_semantic,938,339,pca_30,KF_MLP,0.0354,0.1245,-0.1001,0.2196
HandCrafted+DeepVisual,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,41616,339,pca_30,KF_MLP,0.0354,0.1245,-0.1205,0.2054
Audio,tcnj_audio_c|tcnj_audio_o,36,339,pca_50,MLP,0.0354,0.1305,-0.1289,0.2674
VGG,VGG,12288,339,pca_50,Ridge,0.0353,0.1367,-0.1584,0.2355
DenseNet121,DenseNet121,3072,339,spearman_30,KF_Ridge,0.035,0.1271,-0.1212,0.2423
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,pca_30,Ridge,0.035,0.2182,-0.3301,0.3201
EfficientNetB3,EfficientNetB3,4608,339,spearman_50,SVR,0.0347,0.0465,-0.0155,0.1183
R3D,R3D,512,339,pca_50,KF_MLP,0.0347,0.085,-0.1173,0.1317
VisualAll,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,42128,339,spearman_30,KF_MLP,0.0346,0.1435,-0.1936,0.2475
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,spearman_50,LinearRegression,0.0344,0.1015,-0.0773,0.1577
